datetime,date,hour,year,month,day_of_week,is_weekend,quarter,price_eur_mwh,demand_mw,supply_mw,net_flow_cz,net_flow_pl,net_flow_hu,net_import,price_lag24,price_change_24h,price_change_24h_pct,price_lag168,price_change_7d,price_daily_mean,price_daily_std,price_daily_range,yesterday_mean_price,yesterday_std_price,yesterday_range_price,price_momentum_6h,net_import_lag24,net_import_change_24h
2024-01-01 00:00:00,2024-01-01,0,2024,1,0,0,1,0.1,557.0,1892.9,520.5,164.8,-2021.2,-1335.9,,,,,,0.1,,0.0,,,,,,
2024-01-01 01:00:00,2024-01-01,1,2024,1,0,0,1,0.01,449.9,1727.7,526.3,203.6,-2007.7,-1277.8000000000002,,,,,,0.055,0.06363961030678929,0.09000000000000001,,,,,,
2024-01-01 02:00:00,2024-01-01,2,2024,1,0,0,1,0.05,424.8,1466.9,392.9,60.0,-1495.0,-1042.1,,,,,,0.05333333333333334,0.04509249752822895,0.09000000000000001,,,,,,
2024-01-01 03:00:00,2024-01-01,3,2024,1,0,0,1,0.01,413.1,1486.3,313.4,57.2,-1443.8,-1073.2,,,,,,0.0425,0.04272001872658766,0.09000000000000001,,,,,,
2024-01-01 04:00:00,2024-01-01,4,2024,1,0,0,1,0.01,419.0,1526.3,243.0,33.2,-1383.5,-1107.3,,,,,,0.036000000000000004,0.03974921382870358,0.09000000000000001,,,,,,
2024-01-01 05:00:00,2024-01-01,5,2024,1,0,0,1,0.01,441.4,1505.0,291.5,47.9,-1403.0,-1063.6,,,,,,0.03166666666666667,0.03710345895825168,0.09000000000000001,,,,,,
2024-01-01 06:00:00,2024-01-01,6,2024,1,0,0,1,0.04,451.6,1882.0,235.6,-42.1,-1623.9,-1430.4,,,,,,0.032857142857142856,0.03401680257083045,0.09000000000000001,,,,-0.060000000000000005,,
2024-01-01 07:00:00,2024-01-01,7,2024,1,0,0,1,0.01,453.2,1723.6,332.2,65.2,-1667.8,-1270.4,,,,,,0.030000000000000002,0.03251373336211727,0.09000000000000001,,,,0.0,,
2024-01-01 08:00:00,2024-01-01,8,2024,1,0,0,1,0.0,578.7,1768.5,433.7,102.2,-1725.7,-1189.8000000000002,,,,,,0.02666666666666667,0.03201562118716425,0.1,,,,-0.05,,
2024-01-01 09:00:00,2024-01-01,9,2024,1,0,0,1,0.04,704.9,1904.6,450.0,174.8,-1824.5,-1199.7,,,,,,0.028000000000000004,0.0304776785350999,0.1,,,,0.03,,
2024-01-01 10:00:00,2024-01-01,10,2024,1,0,0,1,0.06,697.2,1902.9,405.9,159.0,-1770.6,-1205.6999999999998,,,,,,0.03090909090909091,0.030480992587035436,0.1,,,,0.049999999999999996,,
2024-01-01 11:00:00,2024-01-01,11,2024,1,0,0,1,0.54,846.5,1906.0,388.8,87.1,-1535.4,-1059.5,,,,,,0.07333333333333335,0.14980795787415382,0.54,,,,0.53,,
2024-01-01 12:00:00,2024-01-01,12,2024,1,0,0,1,2.24,795.7,1888.6,294.2,-191.8,-1195.3,-1092.9,,,,,,0.24000000000000002,0.6178052551842962,2.24,,,,2.2,,
2024-01-01 13:00:00,2024-01-01,13,2024,1,0,0,1,3.44,749.6,1902.8,281.0,-367.3,-1066.9,-1153.2,,,,,,0.4685714285714286,1.041033932372835,3.44,,,,3.43,,
2024-01-01 14:00:00,2024-01-01,14,2024,1,0,0,1,11.18,723.6,1947.6,364.2,-256.0,-1332.2,-1224.0,,,,,,1.1826666666666668,2.941992683944158,11.18,,,,11.18,,
